Title,Pub_Year,author_pub_id,num_citations,citedby_url,cites_id
 White organic light-emitting diodes with fluorescent tube efficiency, 2009,5uiQM3wAAAAJ:u5HHmVD_uO8C,3409,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6223427128501278035,['6223427128501278035']
 Highly efficient organic devices based on electrically doped transport layers, 2007,5uiQM3wAAAAJ:d1gkVwhDpl0C,1698,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16385674073566359465,['16385674073566359465']
 Highly conductive PEDOT PSS electrode with optimized solvent and thermal post‐treatment for ITO‐free organic solar cells, 2011,5uiQM3wAAAAJ:kNdYIx-mwKoC,1352,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1142514599653403322,['1142514599653403322']
 Coherent submillimeter-wave emission from Bloch oscillations in a semiconductor superlattice, 1993,5uiQM3wAAAAJ:u-x6o8ySG0sC,961,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7484130436768700663,['7484130436768700663']
 Triplet-exciton quenching in organic phosphorescent light-emitting diodes with Ir-based emitters, 2007,5uiQM3wAAAAJ:_FxGoFyzp5QC,767,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16541366094052179109,['16541366094052179109']
 High-efficiency and low-voltage p‐i‐n electrophosphorescent organic light-emitting diodes with double-emission layers, 2004,5uiQM3wAAAAJ:2osOgNQ5qMEC,755,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3268263796026571421,['3268263796026571421']
 Efficiency roll‐off in organic light‐emitting diodes, 2013,5uiQM3wAAAAJ:nPTYJWkExTIC,736,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4760718962671460355,['4760718962671460355']
 Optical investigation of Bloch oscillations in a semiconductor superlattice, 1992,5uiQM3wAAAAJ:9yKSN-GCB0IC,705,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2640592188010467776,['2640592188010467776']
 Low voltage organic light emitting diodes featuring doped phthalocyanine as hole transport material, 1998,5uiQM3wAAAAJ:IjCSPb-OGe4C,656,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4803661595810138815,['4803661595810138815']
 White organic light-emitting diodes Status and perspective, 2013,5uiQM3wAAAAJ:SGW5VrABaM0C,572,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1908612124042289196,['1908612124042289196']
